Flex1,Flex2,Flex3,Flex4,Flex5,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
958,821,903,848,735,0.50,0.13,0.83,-1.16,2.69,-0.99
958,823,1023,846,743,0.64,0.06,0.79,-40.97,-3.31,24.95
960,833,1023,856,743,0.45,-0.69,0.40,-26.60,-10.11,28.01
960,834,1023,856,743,0.52,-0.91,0.11,-8.87,-6.99,-7.10
961,834,1023,856,743,0.32,-0.96,0.06,3.95,0.66,14.65
960,834,1023,856,743,0.29,-0.95,0.22,4.11,7.37,-1.21
960,835,1023,856,743,0.49,-0.90,0.04,-25.42,7.78,-40.37
959,835,1023,855,743,0.64,-0.83,0.05,0.38,-0.75,-0.50
960,835,1023,855,743,0.58,-0.87,0.05,3.48,-3.32,6.35
959,835,1023,856,753,0.53,-0.88,0.09,3.10,1.36,-3.71
959,836,1023,857,745,0.62,-0.61,0.47,22.89,13.07,-20.01
960,835,1023,854,743,0.69,-0.09,0.86,32.02,16.34,-23.63
