Flex1,Flex2,Flex3,Flex4,Flex5,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
830,831,901,1023,780,0.05,-0.05,0.13,0.01,-0.00,-0.00,its a flat position
828,832,901,1023,740,0.03,-0.12,0.10,0.00,-0.01,-0.00,its a flat position
829,831,901,1023,740,-0.01,-0.23,0.06,0.00,0.01,0.00,its a flat position
828,833,901,1023,741,0.08,-0.29,0.08,-0.01,-0.00,0.00,its a flat position
828,833,900,1023,740,0.00,-0.25,0.07,-0.01,-0.00,0.00,its a flat position
828,833,900,1023,740,0.01,-0.14,0.10,0.01,-0.00,0.00,its a flat position
828,833,900,1023,740,-0.02,-0.14,0.13,0.01,0.01,-0.01,its a flat position
829,833,901,1023,740,-0.02,-0.14,0.09,-0.00,0.00,0.00,its a flat position
828,832,901,1023,739,-0.04,-0.13,0.12,0.00,-0.00,0.00,its a flat position
828,832,900,1023,783,-0.03,-0.09,0.12,0.01,-0.00,-0.00,its a flat position
828,832,902,1023,740,-0.02,-0.10,0.15,0.01,-0.00,-0.00,its a flat position
829,832,900,1023,740,-0.05,-0.08,0.14,0.00,-0.00,-0.00,its a flat position
829,833,901,1023,749,-0.07,-0.10,0.15,-0.01,0.00,0.00,its a flat position
829,833,900,1023,776,-0.12,-0.11,0.16,-0.00,0.00,-0.00,its a flat position
828,833,900,1023,783,-0.08,-0.11,0.14,-0.01,-0.00,0.00,its a flat position
828,832,900,1023,739,-0.08,-0.10,0.19,-0.01,-0.00,0.00,its a flat position
828,833,899,1023,739,-0.05,-0.15,0.17,-0.00,-0.01,0.00,its a flat position
828,833,899,1023,783,-0.11,-0.06,0.09,0.01,0.01,-0.00,its a flat position
828,832,899,1023,740,-0.07,-0.19,0.10,0.00,-0.00,0.00,its a flat position
828,833,900,1023,740,-0.01,-0.28,0.11,0.00,0.01,-0.00,its a flat position
837,839,899,1023,762,-4.07,-8.31,-9.06,0.06,0.11,0.10,hi hello
840,838,898,1023,745,-7.31,-7.42,-6.49,0.09,-0.16,0.05,hi hello
835,837,897,1023,783,-5.83,-7.79,-6.66,-0.01,-0.02,-0.15,hi hello
834,835,897,1023,782,-3.64,-7.94,-7.53,-0.01,0.02,-0.18,hi hello
834,838,898,1023,744,-0.79,-7.82,-8.13,-0.01,0.03,-0.45,hi hello
833,838,899,1023,740,0.10,-7.49,-7.91,0.00,-0.02,0.04,hi hello
834,837,897,1023,778,-5.06,-8.25,-8.72,-0.02,-0.02,-0.01,hi hello
832,836,894,1023,779,-6.65,-7.79,-7.78,0.01,-0.04,-0.03,hi hello
831,836,894,1023,778,-4.53,-8.23,-8.72,0.01,-0.02,-0.00,hi hello
831,835,895,1023,735,-2.77,-8.21,-8.66,-0.01,-0.03,-0.06,hi hello
831,837,898,1023,740,-0.66,-7.97,-9.11,0.03,0.03,0.45,hi hello
830,835,896,1023,741,-5.22,-8.14,-8.02,0.04,-0.07,0.14,hi hello
830,834,894,1023,787,-6.44,-7.52,-6.39,-0.01,-0.00,-0.03,hi hello
829,834,895,1023,737,-4.01,-8.18,-8.16,-0.09,0.06,-0.06,hi hello
829,834,896,1023,739,-2.88,-8.22,-8.59,0.02,-0.01,-0.01,hi hello
829,835,897,1023,742,-0.99,-7.89,-9.08,-0.03,0.01,0.02,hi hello
829,834,894,1023,740,-5.80,-7.86,-7.26,-0.01,-0.06,0.00,hi hello
829,834,894,1023,781,-3.47,-8.26,-8.29,-0.00,-0.07,-0.04,hi hello
829,834,894,1023,737,-5.39,-8.05,-7.33,-0.01,0.00,0.01,hi hello
828,836,896,1023,784,-3.07,-8.24,-8.14,-0.01,0.01,-0.03,hi hello
875,918,944,1023,785,5.39,-1.44,-6.72,-0.04,-0.05,0.01,ok nice work
870,910,936,1023,760,5.01,-3.23,-8.41,0.24,-0.15,-0.07,ok nice work
866,908,933,1023,794,5.20,-2.09,-7.39,-0.00,-0.00,0.04,ok nice work
865,905,933,1023,805,4.98,-2.74,-7.74,0.05,-0.00,-0.02,ok nice work
865,903,933,1023,763,4.53,-3.26,-8.47,0.01,0.02,0.01,ok nice work
865,901,934,1023,748,5.35,-1.87,-9.00,0.04,0.02,-0.01,ok nice work
864,900,933,1023,733,5.24,-2.06,-8.54,-0.01,0.00,0.04,ok nice work
863,900,933,1023,733,5.38,-2.24,-8.48,0.00,-0.04,-0.03,ok nice work
861,899,933,1023,733,5.16,-2.17,-8.35,0.01,0.01,0.00,ok nice work
